Run,TrackingRegion,ObjectID,Treatment,Fly
1,T1,0,A,1
1,T2,0,B,2
1,T3,0,C,3
1,T4,0,A,4
1,T5,0,B,5
1,T6,0,C,6
1,T7,0,A,7
1,T8,0,B,8
1,T9,0,C,9
1,T10,0,A,10
1,T11,0,B,11
1,T12,0,C,12
1,T13,0,A,13
1,T14,0,B,14
2,T1,0,A,1
2,T2,0,B,2
2,T3,0,C,3
2,T4,0,A,4
2,T5,0,B,5
2,T6,0,C,6
2,T7,0,A,7
2,T8,0,B,8
2,T9,0,C,9
2,T10,0,A,10
2,T11,0,B,11
2,T12,0,C,12
2,T13,0,A,13
2,T14,0,B,14
3,T1,0,B,15
3,T2,0,C,16
3,T3,0,A,17
3,T4,0,B,18
3,T5,0,C,19
3,T6,0,A,20
3,T7,0,B,21
3,T8,0,C,22
3,T9,0,A,23
3,T10,0,B,24
3,T11,0,C,25
3,T12,0,A,26
3,T13,0,B,27
3,T14,0,C,28
