ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
1,Trach,952,233,202,-867,3,265.8047,Count,High,6/7/2022 11:48,989,0,1,One
2,Trach,939,279,189,-821,3,265.8047,Count,High,6/7/2022 11:48,989,0,1,One
3,Trach,487,713,-263,-387,3,265.8047,Count,High,6/7/2022 11:48,989,0,1,One
4,Trach,991,757,241,-343,3,265.8047,Count,High,6/7/2022 11:48,989,0,1,One
5,Trach,767,780,17,-320,3,265.8047,Count,High,6/7/2022 11:48,989,0,1,One
1,Trach,979,230,229,-870,4,374.9121,Count,High,6/7/2022 11:48,99,0,1,One
2,Trach,948,283,198,-817,4,374.9121,Count,High,6/7/2022 11:48,99,0,1,One
3,Trach,487,714,-263,-386,4,374.9121,Count,High,6/7/2022 11:48,99,0,1,One
4,Trach,991,758,241,-342,4,374.9121,Count,High,6/7/2022 11:48,99,0,1,One
5,Trach,766,779,16,-321,4,374.9121,Count,High,6/7/2022 11:48,99,0,1,One
1,Trach,1003,227,253,-873,5,484.3847,Count,High,6/7/2022 11:48,208,0,1,One
2,Trach,959,287,209,-813,5,484.3847,Count,High,6/7/2022 11:48,208,0,1,One
3,Trach,487,713,-263,-387,5,484.3847,Count,High,6/7/2022 11:48,208,0,1,One
4,Trach,989,757,239,-343,5,484.3847,Count,High,6/7/2022 11:48,208,0,1,One
5,Trach,766,779,16,-321,5,484.3847,Count,High,6/7/2022 11:48,208,0,1,One
1,Trach,1029,227,279,-873,6,593.8786,Count,High,6/7/2022 11:48,318,0,1,One
2,Trach,976,294,226,-806,6,593.8786,Count,High,6/7/2022 11:48,318,0,1,One
3,Trach,487,713,-263,-387,6,593.8786,Count,High,6/7/2022 11:48,318,0,1,One
4,Trach,991,757,241,-343,6,593.8786,Count,High,6/7/2022 11:48,318,0,1,One
5,Trach,766,779,16,-321,6,593.8786,Count,High,6/7/2022 11:48,318,0,1,One
1,Trach,1055,238,305,-862,7,703.3381,Count,High,6/7/2022 11:48,427,0,1,One
2,Trach,994,301,244,-799,7,703.3381,Count,High,6/7/2022 11:48,427,0,1,One
3,Trach,488,714,-262,-386,7,703.3381,Count,High,6/7/2022 11:48,427,0,1,One
4,Trach,991,758,241,-342,7,703.3381,Count,High,6/7/2022 11:48,427,0,1,One
5,Trach,765,778,15,-322,7,703.3381,Count,High,6/7/2022 11:48,427,0,1,One
1,Trach,1082,248,332,-852,8,812.6541,Count,High,6/7/2022 11:48,536,0,1,One
2,Trach,1008,308,258,-792,8,812.6541,Count,High,6/7/2022 11:48,536,0,1,One
3,Trach,488,715,-262,-385,8,812.6541,Count,High,6/7/2022 11:48,536,0,1,One
4,Trach,989,757,239,-343,8,812.6541,Count,High,6/7/2022 11:48,536,0,1,One
5,Trach,765,778,15,-322,8,812.6541,Count,High,6/7/2022 11:48,536,0,1,One
1,Trach,1108,256,358,-844,9,922.0312,Count,High,6/7/2022 11:48,646,0,1,One
2,Trach,1028,313,278,-787,9,922.0312,Count,High,6/7/2022 11:48,646,0,1,One
3,Trach,488,714,-262,-386,9,922.0312,Count,High,6/7/2022 11:48,646,0,1,One
4,Trach,989,757,239,-343,9,922.0312,Count,High,6/7/2022 11:48,646,0,1,One
5,Trach,765,778,15,-322,9,922.0312,Count,High,6/7/2022 11:48,646,0,1,One
1,Trach,1136,267,386,-833,10,1031.1638,Count,High,6/7/2022 11:48,755,0,1,One
2,Trach,1046,316,296,-784,10,1031.1638,Count,High,6/7/2022 11:48,755,0,1,One
3,Trach,487,714,-263,-386,10,1031.1638,Count,High,6/7/2022 11:48,755,0,1,One
4,Trach,990,758,240,-342,10,1031.1638,Count,High,6/7/2022 11:48,755,0,1,One
5,Trach,765,778,15,-322,10,1031.1638,Count,High,6/7/2022 11:48,755,0,1,One
1,Trach,1164,283,414,-817,11,1140.7379,Count,High,6/7/2022 11:48,864,0,1,One
2,Trach,1063,318,313,-782,11,1140.7379,Count,High,6/7/2022 11:48,864,0,1,One
3,Trach,488,714,-262,-386,11,1140.7379,Count,High,6/7/2022 11:48,864,0,1,One
4,Trach,991,757,241,-343,11,1140.7379,Count,High,6/7/2022 11:48,864,0,1,One
5,Trach,765,778,15,-322,11,1140.7379,Count,High,6/7/2022 11:48,864,0,1,One
1,Trach,1190,300,440,-800,12,1253.6159,Count,High,6/7/2022 11:48,977,0,1,One
2,Trach,1081,314,331,-786,12,1253.6159,Count,High,6/7/2022 11:48,977,0,1,One
3,Trach,487,714,-263,-386,12,1253.6159,Count,High,6/7/2022 11:48,977,0,1,One
4,Trach,990,758,240,-342,12,1253.6159,Count,High,6/7/2022 11:48,977,0,1,One
5,Trach,765,778,15,-322,12,1253.6159,Count,High,6/7/2022 11:48,977,0,1,One
1,Trach,1099,310,349,-790,13,1363.1894,Count,High,6/7/2022 11:48,87,0,1,One
2,Trach,1218,326,468,-774,13,1363.1894,Count,High,6/7/2022 11:48,87,0,1,One
3,Trach,487,714,-263,-386,13,1363.1894,Count,High,6/7/2022 11:48,87,0,1,One
4,Trach,989,758,239,-342,13,1363.1894,Count,High,6/7/2022 11:48,87,0,1,One
5,Trach,764,776,14,-324,13,1363.1894,Count,High,6/7/2022 11:48,87,0,1,One
1,Trach,1117,310,367,-790,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
2,Trach,1243,356,493,-744,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
3,Trach,487,714,-263,-386,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
4,Trach,989,758,239,-342,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
5,Trach,764,776,14,-324,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
1,Trach,1140,310,390,-790,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
2,Trach,1244,395,494,-705,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
3,Trach,487,713,-263,-387,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
4,Trach,990,757,240,-343,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
5,Trach,764,777,14,-323,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
1,Trach,1153,314,403,-786,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
2,Trach,1241,430,491,-670,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
3,Trach,487,713,-263,-387,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
4,Trach,989,757,239,-343,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
5,Trach,764,776,14,-324,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
1,Trach,1167,317,417,-783,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
2,Trach,1235,475,485,-625,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
3,Trach,487,713,-263,-387,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
4,Trach,989,757,239,-343,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
