ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T_0,20,72,-66,-17,2,100,C_0,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
1,T_0,12,89,-74,0,2,100,C_0,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
0,T_1,320,101,61,13,2,100,C_1,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
1,T_1,305,125,46,37,2,100,C_1,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
0,T_2,502,75,69,-9,2,100,C_2,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
1,T_2,503,108,70,24,2,100,C_2,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
0,T_3,109,201,23,-45,2,100,C_3,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
1,T_3,109,269,23,23,2,100,C_3,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
0,T_4,335,225,75,-20,2,100,C_4,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
1,T_4,230,293,-30,48,2,100,C_4,-1,0,0,0,0,High,3/9/2022 09:47:58,110,0,1,One
0,T_5,506,234,0,0,2,100,None,-1,0,0,0,0,Indiscernible,3/9/2022 09:47:58,111,0,0,None
0,T_0,18,75,-68,-14,3,200,C_0,225,36.05551275,360.5551275,2260,3.605551275,High,3/9/2022 09:47:59,660,0,1,One
1,T_0,11,89,-75,0,3,200,C_0,180,10,100,1810,1,High,3/9/2022 09:47:59,661,0,1,One
0,T_1,320,101,61,13,3,200,C_1,0,0,0,10,0,High,3/9/2022 09:47:59,661,0,1,One
1,T_1,305,125,46,37,3,200,C_1,0,0,0,10,0,High,3/9/2022 09:47:59,661,0,1,One
0,T_2,504,79,71,-5,3,200,C_2,296.5650512,44.72135955,447.2135955,2975.650512,4.472135955,High,3/9/2022 09:47:59,661,0,1,One
1,T_2,502,111,69,27,3,200,C_2,251.5650512,31.6227766,316.227766,2525.650512,3.16227766,High,3/9/2022 09:47:59,661,0,1,One
0,T_3,109,201,23,-45,3,200,C_3,0,0,0,10,0,High,3/9/2022 09:47:59,661,0,1,One
1,T_3,109,269,23,23,3,200,C_3,0,0,0,10,0,High,3/9/2022 09:47:59,661,0,1,One
0,T_4,337,229,77,-16,3,200,C_4,296.5650512,44.72135955,447.2135955,2975.650512,4.472135955,High,3/9/2022 09:47:59,661,0,1,One
1,T_4,224,292,-36,47,3,200,C_4,180,60.8276253,608.276253,1810,6.08276253,High,3/9/2022 09:47:59,661,0,1,One
0,T_5,506,234,0,0,3,200,None,-1,0,0,0,0,Indiscernible,3/9/2022 09:47:59,661,0,0,None
0,T_0,18,74,-68,-15,4,300,C_0,-1,10,-260.5551275,2260,4.605551275,High,3/9/2022 09:47:59,671,0,1,One
1,T_0,12,91,-74,2,4,300,C_0,-1,22.36067977,123.6067977,1810,3.236067977,High,3/9/2022 09:47:59,671,0,1,One
0,T_1,320,102,61,14,4,300,C_1,-1,10,100,10,1,High,3/9/2022 09:47:59,671,0,1,One
1,T_1,305,125,46,37,4,300,C_1,-1,0,0,10,0,High,3/9/2022 09:47:59,671,0,1,One
0,T_2,505,83,72,-1,4,300,C_2,-1,41.23105626,-34.90303294,2975.650512,8.595241581,High,3/9/2022 09:47:59,671,0,1,One
1,T_2,502,111,69,27,4,300,C_2,-1,0,-316.227766,2525.650512,3.16227766,High,3/9/2022 09:47:59,671,0,1,One
0,T_3,109,201,23,-45,4,300,C_3,-1,0,0,10,0,High,3/9/2022 09:47:59,671,0,1,One
1,T_3,108,269,22,23,4,300,C_3,-1,10,100,10,1,High,3/9/2022 09:47:59,671,0,1,One
0,T_4,338,235,78,-10,4,300,C_4,-1,60.8276253,161.0626575,2975.650512,10.55489849,High,3/9/2022 09:47:59,671,0,1,One
1,T_4,222,290,-38,45,4,300,C_4,-1,28.28427125,-325.4335406,1810,8.911189655,High,3/9/2022 09:47:59,671,0,1,One
0,T_5,506,234,0,0,4,300,None,-1,0,0,0,0,Indiscernible,3/9/2022 09:47:59,671,0,0,None
1,T_5,519,254,0,0,4,300,None,-1,0,0,0,0,Indiscernible,3/9/2022 09:47:59,671,0,0,None
0,T_0,18,74,-68,-15,5,400,C_0,0,0,-100,10,4.605551275,High,3/9/2022 09:47:59,678,0,1,One
